altLabel,title,subtitle,uri,source,status,redirects,disambiguates,matched_entity_type,row_type,modified
3roundstones,3roundstones,,,,man,,,,,2013/09/03
40Hz.org,40Hz.org,,,,man,,,,,2013/09/05
"Aalto University","Aalto University",,http://dbpedia.org/resource/Aalto_University,,ok,,,TRUE,,2013/08/01
Accenture,Accenture,,http://dbpedia.org/resource/Accenture,,ok,,,,,2013/08/01
Acklin,Acklin,,,,man,,,,,2013/08/01
"Agentis Software","Agentis Software",,,,man,,,,,2013/08/01
AgentLink,AgentLink,,,,man,,,,,2013/08/01
Agfa-Gevaert,Agfa-Gevaert,,http://dbpedia.org/resource/Agfa-Gevaert,,ok,,,,,2013/08/01
Aidministrator,Aidministrator,,,,man,,,,,2013/08/01
"Institute AIFB","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man,,,,,2013/09/09
"Institute AIFB, KIT","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man,,,,,2013/09/09
"AIFB, Karlsruhe Institute of Technology","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,TRUE,,2013/08/01
"AIFB, University Karlsruhe","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,,,2013/08/01
"AIFB, University of Karlsruhe","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,,,2013/08/01
"Institute AIFB at University of Karlsruhe","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,,,2013/08/01
"Institute AIFB, University of Karlsruhe","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,,,2013/08/01
"Institute AIFB, Univ. of Karlsruhe","AIFB, University of Karlsruhe",,,http://www.aifb.kit.edu/,man-short,,,,,2013/08/01
"Advanced Knowledge Technologies (AKT)",AKT,"Advanced Knowledge Technologies",,http://www.aktors.org/akt/,man,,,,,2013/08/01
"AKT project",AKT,"Advanced Knowledge Technologies",,http://www.aktors.org/akt/,man,,,,,2013/08/01
"Alcatel Lucent Bell Labs","Alcatel Lucent Bell Labs",,,,man,,,TRUE,,2013/08/01
"Alcatel-Lucent Bell Labs","Alcatel-Lucent Bell Labs",,,,man,,,TRUE,,2013/09/04
"Alcatel-Lucent Bell Labs France","Alcatel-Lucent Bell Labs France",,,,man,,,TRUE,,2013/09/03
"Aldo ventures","Aldo ventures",,,,man,,,,,2013/08/01
"Alpen-Adria Universität","Alpen-Adria-Universität Klagenfurt",,,,ok,,,,,2013/09/03
UNI Klagenfurt,"Alpen-Adria-Universität Klagenfurt",,,,ok,,,,,2013/09/03
"American University of Beirut","American University of Beirut",,http://dbpedia.org/resource/American_University_of_Beirut,,ok,,,TRUE,,2013/08/01
Annotea,Annotea,,http://dbpedia.org/resource/Annotea,,ok,,,,,2013/08/01
Antidot,Antidot,,,,man,,,,,2013/09/03
AOARD,AOARD,,,,man,,,,,2013/08/01
Apelon,Apelon,,,,man,,,,,2013/08/01
"Apelon, Inc.","Apelon, Inc.",,,,man,,,,,2013/09/05
"Argus Labs","Argus Labs",,,http://www.arguslab.com/,man,,,TRUE,,2013/09/26
"Aristotle University of Thessaloniki","Aristotle University of Thessaloniki",,http://dbpedia.org/resource/Aristotle_University_of_Thessaloniki,,ok,,,TRUE,,2013/09/03
"Aritificial Intelligence Journal","Aritificial Intelligence Journal",,http://dbpedia.org/resource/Artificial_Intelligence_(journal),,man,,,,,2013/09/03
"Arizona State University","Arizona State University",,http://dbpedia.org/resource/Arizona_State_University,,ok,,,,,2013/08/01
ARO-FE,ARO-FE,,,,man,,,,,2013/08/01
"Asian Institute of Technology","Asian Institute of Technology",,http://dbpedia.org/resource/Asian_Institute_of_Technology,,ok,,,,,2013/08/01
"Ask Jeeves","Ask Jeeves",,,,man,,,,,2013/08/01
"Aston University","Aston University",,http://dbpedia.org/resource/Aston_University,,ok,,,TRUE,,2013/08/01
"Aston University, Birmingham","Aston University",,http://dbpedia.org/resource/Aston_University,,ok,,,TRUE,,2013/08/01
"The University of Aston","Aston University",,http://dbpedia.org/resource/Aston_University,,ok,,,TRUE,,2013/08/01
"Athens University of Economics","Athens University of Economics and Business",,http://dbpedia.org/resource/Athens_University_of_Economics_and_Business,,ok,,,,,2013/08/01
"Athens University of Economics and Business","Athens University of Economics and Business",,http://dbpedia.org/resource/Athens_University_of_Economics_and_Business,,ok,,,,,2013/08/01
"Atos Origin","Atos Origin",,,,ok,,,,,2013/08/01
"ATR Intelligent Robotics and Communication Laboratories","ATR Intelligent Robotics and Communication Laboratories",,,,ok,,,,,2013/08/01
