Telefonica,Telefónica,,http://dbpedia.org/resource/Telef%C3%B3nica,,auto,,,True,
Parlance project,Elwood (American musician),,http://dbpedia.org/resource/Elwood_(American_musician),,auto,,,True,
LinkedUp project,Radia,,http://dbpedia.org/resource/Radia,,auto,,,True,
The Open PHACTS Foundation,Teaching reading: whole language and phonics,,http://dbpedia.org/resource/Teaching_reading:_whole_language_and_phonics,,auto,,,,
Semantic Valley,Chris Welty,,http://dbpedia.org/resource/Chris_Welty,,auto,,,,
OpenLink software,OpenLink Software,,http://dbpedia.org/resource/OpenLink_Software,,auto,,,True,
Poolparty,Semantic Web Company,,http://dbpedia.org/resource/Semantic_Web_Company,,auto,,,True,
News Reader project,Worldreader,,http://dbpedia.org/resource/Worldreader,,auto,,,True,
Synerscope,Traffic analysis,,http://dbpedia.org/resource/Traffic_analysis,,auto,,,,
Okkam,Occam's razor,,http://dbpedia.org/resource/Occam's_razor,,auto,,,,
SICRaS,Escitalopram,,http://dbpedia.org/resource/Escitalopram,,auto,,,,
Bpeng,Mining industry of Nigeria,,http://dbpedia.org/resource/Mining_industry_of_Nigeria,,auto,,,,
Centro Ricerche GPI,Centro Ricerche GPI,,,,auto-fail-outside-wikipedia,,,,
Expert System,Expert system,,http://dbpedia.org/resource/Expert_system,,auto,,,,
Informatica Trentina s.p.a.,Informatica Trentina s.p.a.,,,,auto-fail-outside-wikipedia,,,,
Institute of Cognitive Sciences and Technologies - CNR,Anthropology,,http://dbpedia.org/resource/Anthropology,,auto,,,,
iMinds,Vocativ,,http://dbpedia.org/resource/Vocativ,,auto,,,True,
Videolectures,VideoLectures.net,,http://dbpedia.org/resource/VideoLectures.net,,auto,,,,
Artificial Intelligence Journal,Artificial Intelligence (journal),,http://dbpedia.org/resource/Artificial_Intelligence_(journal),,auto,,,,
Yahoo Labs,Yahoo! Labs,,http://dbpedia.org/resource/Yahoo!_Labs,,auto,,,,
Vienna University of Economics & Business,Vienna University of Economics and Business,,http://dbpedia.org/resource/Vienna_University_of_Economics_and_Business,,auto,,,True,
LinkingData I/O LLC,LinkingData I/O LLC,,,,auto-fail-outside-wikipedia,,,,
