name,other_names
Olaf Gorlitz,Olaf Görlitz
Agnieszka Lawrynowicz,Agnieszka Ławrynowicz
Alan Rector,Alan L. Rector
Alasdair J. G. Gray,Alasdair Gray
Alfio Gliozzo,Alfio M. Gliozzo
Alon Halevy,Alon Y. Halevy
Amit Sheth,Amit P. Sheth
Ana Armas,Ana Armas Romero
Andrew Sellers,Andrew Jon Sellers
Asunciòn Gomez-Perez,Asun Gomez-Perez
Axel-Cyrille Ngonga Ngomo,Axel Ngonga
Benjamin Grosof,Benjamin N. Grosof
Bianca De O. Pereira,Bianca Pereira
Blaž Fortuna,Blaz Fortuna
Carole A. Goble,Carole Goble
Chris Baillie,Chris Colin Baillie
Chris T Evelo,Chris Evelo
"Chris Welty
",Christopher Welty
Christian Bizer,Christian Bizer;Chris Bizer
Cory Henson,Cory A. Henson
Craig Knoblock,Craig A. Knoblock
Daniel M Herzig,Daniel M. Herzig
Daniel Miranker,Daniel P. Miranker
Dave Beckett,Dave J. Beckett
David De Roure,David DeRoure
David Karger,David R. Karger
David Martin,David L. Martin
David Shamma,David A. Shamma
Deborah McGuinness,Deborah L. McGuinness
Drew McDermott,Drew V. McDermott
Edward Curry,Edward Curry SLUA
Eero Hyvönen,Eero Hyvonen
Evan K. Wallace,Evan Wallace
Fausto Giunchiglia,Fausto Giounchiglia;Fausto Guinchiliglia
Francisco M. Couto,Francisco Couto
Frank van Harmelen,F. Van Harmelen
GERD GRÖNER,Gerd Groner;Gerd Groener
Guoton Xie,Guo Tong Xie
Guus Schreiber,Guus Scheiber
Haklae Kim,Hak-Lae Kim
Hassan Ait Kaci,Hassan Aït-Kaci
Helena Deus,Helena F. Deus
Helena F. Deus,Helena F Deus
Henry M. Levy,Henry Levy
Herman J. ter Horst,Herman ter Horst
I. V. Ramakrishnan,I.V. Ramakrishnan
Isabel Cruz,Isabel F. Cruz
Isabel F. Cruz,Isabel Cruz
Jacky Snoep,Jacky. L. Snoep
James Hendler,James A. Hendler;Jim Hendler
James P. McCusker,Jim Mccusker
Jason Jung,Jason J. Jung
Jeff Z. Pan,Jeff Pan
Jeremy Carroll,Jeremy J. Carroll
Jesse (Jiaxin) Wang,Jesse Jiaxin Wang
John Gianandrea,John Giannandrea
John McCrae,John P. Mccrae
John P. Mccrae,John Mccrae
Jonathan Mortensen,Jonathan M. Mortensen
Jorge A. Perez,Jorge Pérez
Jose Manuel Gomez-Perez,Jose Manuel Gomez
Juan F. Sequeda,Juan Sequeda
Katia Sycara,Katia P. Sycara
Kemafor Anyanwu,Kemafor Anyanwu Ogan
Kenneth J. Laskey,Ken Laskey
Kerry Taylor,Kerry L. Taylor
Kiril Simov,Kiril Iv. Simov
Lars E. Olson,Lars Olson
Lars Marius Garshol,Lars M. Garshol
Libby Miller,L. Miller
Line Pouchard,Line C. Pouchard
Lorenz Buhmann,Lorenz Bühmann
Lyndon J. B. Nixon,Lyndon Nixon
Maarten R. Menken,Maarten Menken
Marco Pistore,M. Pistore
Mariano Rodriguez-Muro,Mariano Rodríguez-Muro
Mark A. Musen,Mark Musen
Mark B. Sandler,Mark Sandler
Mark Cameron,Mark A. Cameron
Mark D. Wilkinson,Mark Wilkinson
Martin G. Skjæveland,Martin Georg Skjæveland
Martin G. Skjæveland,Martin G. Skjæveland
Massimo Paolucci,Massimo Paoluccci
Max J. Egenhofer,Max Egenhofer
Michael Huhns,Michael D. Huhns
Michael Ward,Michael J. Ward
Michael Wilson,Michael D. Wilson
Michel Klein,Michel C. A. Klein
Mieczyslaw Kokar,Mieczyslaw M. Kokar
Miguel A. Martinez Prieto,Miguel-Angel Lopez-Alonso
Natalya Noy,Natalya Fridman Noy;Natalya F. Noy;Natasha Noy;Natasha F. Noy
Nicholas R. Jennings,Nick Jennings
Nigel R Shadbolt,Nigel Shadbolt
Norman Sadeh,Norman M. Sadeh
Özgür Lütfü Özcep,Özgür L. Özçep
Pablo Mendes,Pablo N. Mendes
Paea Lependu,Paea Le Pendu
Pat Hayes,Patrick Hayes
Paul Alexander,Paul R. Alexander
Paul Groth,Paul T. Groth
Paul R. Alexander,Paul Alexander
Paul Smart,Paul R. Smart
Paulo C. G. Costa,Paulo Costa
Pedro Szekely,Pedro A. Szekely
Peter Boncz,Peter A. Boncz
Peter F. Patel-Schneider,Peter Patel-Schneider
Peter Yeh,Peter Z. Yeh
Pierre-Yves Vandenbussche,Pierre-Yves Vanderbussche
Ramanathan Guha,Ramanathan V. Guha;R.V. Guha;R Guha
Raphael M Malyankar,Raphael Malyankar
Raphael Troncy,Raphaël Troncy
Raphaël Troncy,Raphael Troncy
Raymond Fergerson,Ray Fergerson
Satya S. Sahoo,Satya Sahoo
Simone Ponzetto,Simone Paolo Ponzetto
Stuart Wrigley,Stuart N. Wrigley
Terry Payne,Terry R. Payne
Tim Berners-Lee,Timothy Berners-Lee
Tim Finin,Timothy W. Finin
Valentina Tamma,Valentina A. M. Tamma
Viktor Prasanna,Viktor K. Prasanna
Vinay Chaudhri,Vinay K Chaudhri
Wolfgang Nejdl,W. Nejdl
Yolanda Gil,Gil Yolanda
