author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,label_proceedings,subtitle_proceedings,abstract,category,keywords,cnt_keyword,topics,cnt_topic,list_author,cnt_author,list_url,cnt_url
"Miguel-Angel Lopez-Alonso, Maria Pinto",A Proposal for Organizing Knowledge from Web Information Systems,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-12,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Miguel-Angel Lopez-Alonso;Maria Pinto,2,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Nicolas Maillot, Nicolas Maillot, Monique Thonnat, Alain Boucher",A Visual Concept Ontology for Automatic Image Recognition,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-35,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Monique Thonnat;Alain Boucher;Nicolas Maillot,3,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Daniel Oberle, Raphael Volz, Steffen Staab",An Application Server for the Semantic Web,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-31,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Steffen Staab;Raphael Volz;Daniel Oberle,3,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
Maurizio Vincini,Building an Integrated Ontology within the SEWASIE Project:  The Ontology Builder Tool,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-49,Proceedings of ISWC 2003 Poster and Demo,,,Demo Paper,,0,,0,Maurizio Vincini,1,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Phillipa Oaks, Arthur ter Hofstede, David Edmond",Capabilities:  describing what services do,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-16,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Phillipa Oaks;Arthur ter Hofstede;David Edmond,3,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Gary Ng, Matthew Quinlan",Cerebra Server and Construct:  Usable Semantics for Domain Experts,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-04,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Matthew Quinlan;Gary Ng,2,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Pradnya Dharia, Anvith Baddam, Raphael Malyankar",Computational Ontologies and XML Schemas for the Web,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-18,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Pradnya Dharia;Anvith Baddam;Raphael Malyankar,3,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Matthew Johnson, Andrzej Uszok",DAML Reality Check:  A Case Study of KAoS Domain and Policy Services,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-09,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Andrzej Uszok;Matthew Johnson,2,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Mikhail Kazakov, Habib Abdulrab",DL-workbench:  a meta-model based platform for ontology manipulation,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-24,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Habib Abdulrab;Mikhail Kazakov,2,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Lei Zhang, Zhuo Zhang, ChenXi Lin, Yan Zhao, Yong Yu",Data Migration for Ontology Evolution,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-36,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,ChenXi Lin;Yong Yu;Zhuo Zhang;Lei Zhang;Yan Zhao,5,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Laura Hollink, Guus Schreiber, Jan Wielemaker, and Bob Wielinga",Demo: Semantic Annotation and Search for Image Collections,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-44,Proceedings of ISWC 2003 Poster and Demo,,,Demo Paper,,0,,0,Jan Wielemaker;Laura Hollink;and Bob Wielinga;Guus Schreiber,4,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Gary Ng, Henrik Pettersen, Matthew Quinlan, Azad Uddin",Demonstrator:  Ontologies and Inference in Delivering Policy-Driven Automotive Supply Chain Automation,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-47,Proceedings of ISWC 2003 Poster and Demo,,,Demo Paper,,0,,0,Azad Uddin;Henrik Pettersen;Gary Ng;Matthew Quinlan,4,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Gavin Barlas, Godfrey Rust, Matthew Quinlan, Martin Dow",Demonstrator:  Ontology Integration and Policy Enactment for Managing Rights Metadata,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-39,Proceedings of ISWC 2003 Poster and Demo,,,Demo Paper,,0,,0,Godfrey Rust;Matthew Quinlan;Martin Dow;Gavin Barlas,4,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Varun Ratnakar, Gil Yolanda",Grounding Semantic Markup in Text:  An Interactive Approach,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-25,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Gil Yolanda;Varun Ratnakar,2,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Kouji Kozaki, Eiichi Sunagawa, Yoshinobu Kitamura, Riichiro Mizoguchi","Hozo: Treatment of ""Role"", ""Relationship"" and Dependency Management",,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-45,Proceedings of ISWC 2003 Poster and Demo,,,Demo Paper,,0,,0,Yoshinobu Kitamura;Kouji Kozaki;Riichiro Mizoguchi;Eiichi Sunagawa,4,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
"Stephen Potter, Austin Tate, Jeff Dalton",I-X:  Task Support on the Semantic Web,,2003,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings,http://data.semanticweb.org/conference/iswc/2003/poster-demo-proceedings/paper-13,Proceedings of ISWC 2003 Poster and Demo,,,Poster Paper,,0,,0,Jeff Dalton;Austin Tate;Stephen Potter,3,http://iswc2003.semanticweb.org/pdf/ISWC2003Posters&Demos.pdf,1
