role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jeff Z. Pan,http://data.semanticweb.org/person/jeff-z-pan,http://www.csd.abdn.ac.uk/~jpan/,,,e409b5eceff3b8cf4be69005301c6984fa6ceae3,1,University of Aberdeen,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Jeff Z. Pan,http://data.semanticweb.org/person/jeff-z-pan,http://www.csd.abdn.ac.uk/~jpan/,,,e409b5eceff3b8cf4be69005301c6984fa6ceae3,1,University of Aberdeen,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Fellowship Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Jeff Heflin,http://data.semanticweb.org/person/jeff-heflin,http://www.cse.lehigh.edu/~heflin/,,,1d8b1638f1c01384c2d034bb1853ecbe8952a4aa,1,Lehigh University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Fellowship Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Jeff Heflin,http://data.semanticweb.org/person/jeff-heflin,http://www.cse.lehigh.edu/~heflin/,,,1d8b1638f1c01384c2d034bb1853ecbe8952a4aa,1,Lehigh University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Ian Horrocks,http://data.semanticweb.org/person/ian-horrocks,http://www.comlab.ox.ac.uk/ian.horrocks/,,,6513c77252b509e1e5072e1bb5c3cce030567015,1,Oxford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Ian Horrocks,http://data.semanticweb.org/person/ian-horrocks,http://www.comlab.ox.ac.uk/ian.horrocks/,,,6513c77252b509e1e5072e1bb5c3cce030567015,1,Oxford University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry and Semantic-Web-in-Use Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Lei Zhang,http://data.semanticweb.org/person/lei-zhang,,,,1e653a24ec99b645d3e70b8931d6088089fa6e66,1,IBM Research China;IBM China Research Laboratory,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry and Semantic-Web-in-Use Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Lei Zhang,http://data.semanticweb.org/person/lei-zhang,,,,1e653a24ec99b645d3e70b8931d6088089fa6e66,1,IBM Research China;IBM China Research Laboratory,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry and Semantic-Web-in-Use Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Pascal Hitzler,http://data.semanticweb.org/person/pascal-hitzler,http://www.pascal-hitzler.de/,,,d9d5e01de07e6f9a5e8b66c44c995c5ca8cc3b63,1,Wright State University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry and Semantic-Web-in-Use Chair at ISWC 2010,http://data.semanticweb.org/conference/iswc/2010,9th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Pascal Hitzler,http://data.semanticweb.org/person/pascal-hitzler,http://www.pascal-hitzler.de/,,,d9d5e01de07e6f9a5e8b66c44c995c5ca8cc3b63,1,Wright State University,1
