name,other_names,country,logo,homepage,description,role_event,role_type,role_label,source,EOL
SWSA,,,http://iswc2013.semanticweb.org/sites/default/files/swsa_0.png?1352419265,http://swsa.semanticweb.org/,,[ME],swc:Sponsor,"Organizing Institution",http://iswc2013.semanticweb.org/content/sponsorship,EOL
CSIRO,,,http://iswc2013.semanticweb.org/sites/default/files/logo_0.png?1352431679,http://research.ict.csiro.au/,,[ME],swc:Sponsor,"Organizing Institution",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"W3C Australia",,,http://iswc2013.semanticweb.org/sites/default/files/aulogo-short.png?1359690256,http://www.w3c.org.au/,,[ME],swc:Sponsor,"Organizing Institution",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"Web Directions South",,,http://iswc2013.semanticweb.org/sites/default/files/web_directions_logo.png?1363578397,http://www.webdirections.org/,,[ME],swc:Sponsor,"Organizing Institution",http://iswc2013.semanticweb.org/content/sponsorship,EOL
PreviousNext,,,http://iswc2013.semanticweb.org/sites/default/files/PNX_logo.png?1337921542,http://previousnext.com.au/,,[ME],swc:Sponsor,"Platinum Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"fluid operations",,,http://iswc2013.semanticweb.org/sites/default/files/fluidoperations.png?1363060897,http://www.fluidops.com/,,[ME],swc:Sponsor,"Platinum Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
Yahoo!,,,http://iswc2013.semanticweb.org/sites/default/files/yahoo.png?1367588806,http://www.yahoo.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
Ontotext,,,http://iswc2013.semanticweb.org/sites/default/files/ontotext_0.png?1369270976,http://www.ontotext.com/,,[ME],swc:Sponsor,"Gold Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"OpenLink Software",,,http://iswc2013.semanticweb.org/sites/default/files/openlinklogo_wstrap_2008_0.png?1360536579,http://www.openlinksw.com/,,[ME],swc:Sponsor,"Silver Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"IOS Press",,,http://iswc2013.semanticweb.org/sites/default/files/sponsor_ios.png?1367054385,http://www.iospress.com/,,[ME],swc:Sponsor,"Silver Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
"University of Technology  Sydney",,,http://iswc2013.semanticweb.org/sites/default/files/uts-logo.png?1363561955,http://www.uts.edu.au/,,[ME],swc:Sponsor,"Doctoral Consortium Sponsor",http://iswc2013.semanticweb.org/content/sponsorship,EOL
