author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,source_uri,keywords,abstract,uri_me,category,source,EOL
"Yevgeny Kazakov and Pavel Klinov","Incremental Reasoning in OWL EL without Bookkeeping",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Heiko Paulheim and Christian Bizer","Type Inference on Noisy RDF Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Daniel M. Herzig, Roi Blanco, Peter Mika and Thanh Tran","Federated Entity Search using On-The-Fly Consolidation",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Daniel Gerber, Sebastian Hellmann, Lorenz Bühmann, Tommaso Soru, Axel-Cyrille Ngonga Ngomo and Ricardo Usbeck","Real-time RDF extraction from unstructured data streams",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Bernardo Cuenca Grau, Evgeny Kharlamov, Egor V. Kostylev and Dmitriy Zheleznyakov","Controlled Query Evaluation over OWL 2 RL Ontologies",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Michael Ovelgönne, Noseong Park, V.S. Subrahmanian, Elizabeth K. Bowman and Kirk A. Ogaard","Personalized Best Answer Computation in Graph Databases",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Olga Nevzorova, Nikita Zhiltsov, Danila Zaikin, Olga Zhibrik, Alexander Kirillovich, Vladimir Nevzorov and Evgeniy Birialtsev","Bringing Math to LOD: A Semantic Publishing Platform Prototype for Scientific Collections in Mathematics",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Veli Bicer, Thanh Tran and Yongtao Ma","TRM - Learning Dependencies between Text and Structure with Topical Relational Models",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Fariz Darari, Werner Nutt, Giuseppe Pirrò and Simon Razniewski","Completeness Statements about RDF Data Sources and Their Use for Query Answering",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Heiner Stuckenschmidt, Michael Schuhmacher, Johannes Knopp, Christian Meilicke and Ansgar Scherp","On the Status of Experimental Research on the Semantic Web",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Bo Fu, Natalya F. Noy and Margaret-Anne Storey","Indented Tree or Graph? A Usability Study of Ontology Visualization Techniques in the Context of Mapping Evaluation",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Lorenz Bühmann and Jens Lehmann","Pattern Based Knowledge Base Enrichment",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Axel-Cyrille Ngonga Ngomo","ORCHID - Reduction-Ratio-Optimal Computation of Geo-Spatial Distances for Link Discovery",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Mohsen Taheriyan, Craig Knoblock, Pedro Szekely and José Luis Ambite","A Graph-Based Approach to Learn Semantic Descriptions of Data Sources",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Silviu Homoceanu, Philipp Wille and Wolf-Tilo Balke","ProSWIP: Property-based Data Access for Semantic Web Interactive Programming",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Muhammad Saleem, Axel-Cyrille Ngonga Ngomo, Josiane Xavier Parreira, Helena Deus and Manfred Hauswirth","DAW: Duplicate-AWare Federated Query Processing over the Web of Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Andrea Moro, Hong Li, Sebastian Krause, Feiyu Xu, Roberto Navigli and Hans Uszkoreit","Semantic Rule Filtering for Web-Scale Relation Extraction",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Freddy Lecue","Towards Constructive Evidence of Data Flow-oriented Web Service Composition",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Mengling Xu, Zhichun Wang, Rongfang Bie, Juanzi Li, Chen Zheng, Wantian Ke and Mingquan Zhou","Discovering Missing Semantic Relations between Entities in Wikipedia",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Guido Governatori, Antonino Rotolo, Serena Villata and Fabien Gandon","One License to Compose Them All: a deontic logic approach to data licensing on the Web of Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Vadim Ivanov, Matthias Knorr and Joao Leite","A Query Tool for EL with Non-monotonic rules",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Andriy Nikolov, Andreas Schwarte and Christian Hütter","FedSearch: efficiently combining structured queries and full-text search in a SPARQL federation",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Piero Bonatti and Luigi Sauro","A Confidentiality Model for Ontologies",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Carsten Lutz, Inanc Seylan, David Toman and Frank Wolter","The Combined Approach to OBDA: Taming Role Hierarchies using Filters",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Ziqi Zhang, Anna Lisa Gentile, Eva Blomqvist, Isabelle Augenstein and Fabio Ciravegna","Statistical Knowledge Patterns: Identifying Synonymous Relations in Large Linked Datasets",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Alberto Tonon, Michele Catasta, Gianluca Demartini, Philippe Cudré-Mauroux and Karl Aberer","TRank: Ranking Entity Types Using the Web of Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Jay Pujara, Hui Miao, Lise Getoor and William Cohen","Knowledge Graph Identification",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Francesco Osborne, Enrico Motta and Paul Mulholland","Exploring Scholarly Data with Rexplore",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Nadeschda Nikitina and Sven Schewe","Simplifying Description Logic Ontologies",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Alessio Palmero Aprosio, Claudio Giuliano and Alberto Lavelli","Towards an automatic creation of localized versions of DBpedia",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Enrico Franconi, Claudio Gutierrez, Alessandro Mosca, Giuseppe Pirró and Riccardo Rosati","The Logic of Extensional RDFS",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Catia Pesquita, Cosmin Stroe, Daniel Faria, Emanuel Santos, Isabel Cruz and Francisco Couto","What's in a ""nym""? Synonyms in Biomedical Ontology Matching",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Sabrina Kirrane, Ahmed Abdelrahman, Alessandra Mileo and Stefan Decker","Secure Manipulation of Linked Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Nicolas Matentzoglu, Samantha Bail and Bijan Parsia","A snapshot of the OWL Web",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Natasha F. Noy, Paul Alexander, Rave Harpaz, Trish Whetzel, Raymond Fergerson and Mark Musen","Getting Lucky in Ontology Search: A Data-Driven Evaluation Framework for Ontology Ranking",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Matthew Horridge, Tania Tudorache, Jennifer Vendetti, Csongor Nyulas, Mark Musen and Natasha F. Noy","Simplified Ontology Editing for the Web: Is WebProtege Enough?",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Xingjian Zhang, Dezhao Song, Sambhawa Priya and Jeff Heflin","Infrastructure for Efficient Exploration of Large Scale Linked Data via Contextual Tag Clouds",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Jacopo Urbani, Alessandro Margara, Ceriel Jacobs, Frank Van Harmelen and Henri Bal","DynamiTE: Parallel Materialization of Dynamic RDF Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Aibo Tian, Juan F. Sequeda and Daniel Miranker","QODI: Query as Context in Automatic Data Integration",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Chan Le Duc, Myriam Lamolle and Olivier Curé","A decision procedure for SHOIQ with transitive closure of roles",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Danh Le Phuoc, Hoan Nguyen Mau Quoc, Chan Le Van and Manfred Hauswirth","Elastic and scalable processing of Linked Stream Data in the Cloud",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Mariano Rodriguez-Muro, Roman Kontchakov and Michael Zakharyaschev","Ontology-Based Data Access: Ontop of Databases",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Chiara Del Vescovo, Pavel Klinov, Bijan Parsia, Ulrike Sattler, Thomas Schneider and Dmitry Tsarkov","Empirical Study of Logic-Based Modules: Cheap Is Cheerful",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Yujiao Zhou, Yavor Nenov, Bernardo Cuenca Grau and Ian Horrocks","Scalable OWL Query Answering? Yes We Can!",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Varish Mulwad, Tim Finin and Anupam Joshi","Semantic Message Passing for Generating Linked Data from Tables",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2013,"Research Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Christian Bizer, Kai Eckert, Robert Meusel, Hannes Mühleisen, Michael Schuhmacher and Johanna Völker","Deployment of RDFa, Microdata, and Microformats on the Web – A Quantitative Analysis",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Pierre Chaussecourte, Birte Glimm, Ian Horrocks, Boris Motik and Laurent Pierre","The Energy Management Adviser at EDF",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Chih-Hao Yu, Tudor Groza and Jane Hunter","Reasoning on crowd-sourced semantic annotations to facilitate cataloguing of 3D artefacts in the cultural heritage domain",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Fedelucio Narducci, Matteo Palmonari and Giovanni Semeraro","Cross-language Semantic Retrieval and Linking of E-gov Services",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Amrapali Zaveri, Joao Ricardo Nickenig Vissoci, Cinzia Daraio and Ricardo Pietrobon","Using Linked Data to evaluate the impact of Research and Development in Europe: a Structural Equation Model",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Yves Raimond, Michael Smethurst, Andrew McParland and Christopher Lowis","Using the past to explain the present: interlinking current affairs with archives via the Semantic Web",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Katherine Wolstencroft, Stuart Owen, Olga Krebs, Quyen Ngyuen, Jacky. L. Snoep, Wolfgang Mueller and Carole Goble","Semantic Data and Models Sharing in systems Biology: The Just Enough Results Model and the SEEK Platform",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Sebastian Hellmann, Jens Lehmann, Sören Auer and Martin Brümmer","Integrating NLP using Linked Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Martin G. Skjæveland, Espen H. Lian and Ian Horrocks","Publishing the Norwegian Petroleum Directorate’s FactPages as Semantic Web Data",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Marco Balduini, Emanuele Della Valle, Daniele Dell'Aglio, Themis Palpanas, Mikalai Tsytsarau and Cristian Confalonieri","Social listening of City Scale Events using the Streaming Linked Data Framework",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Roi Blanco, Berkant Barla Cambazoglu, Peter Mika and Nicolas Torzec","Entity recommendations in Web Search",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
"Simone Tallevi-Diotallevi, Spyros Kotoulas, Luca Foschini, Freddy Lecue and Antonio Corradi","Real-time Urban Monitoring in Dublin using Semantic and Stream Technologies",,2013,,,http://data.semanticweb.org/conference/iswc/2013/proceedings-2,,,,,http://data.semanticweb.org/conference/iswc/2013,"Semantic Web In Use Track Paper",http://www.iswc2013.semanticweb.org/content/accepted-papers,EOL
