author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,source_uri,keywords,abstract,uri_me,category,source,start_page,paper_id,EOL
"Wei Hu, Cunxin Jia, Lei Wan, Liang He, Lixia Zhou and Yuzhong Qu",CAMO: Integration of Linked Open Data for Multimedia Metadata Enrichment,1-16,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960001-camo-integration-of-linked-open-data-for-multimedia-metadata-enrichment.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,1,87960001,
Axel-Cyrille Ngonga Ngomo,HELIOS -- Execution Optimization for Link Discovery,17-32,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960017-helios-execution-optimization-for-link-discovery.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,17,87960017,
"Danai Symeonidou, Vincent Armant, Nathalie Pernelle and Fatiha Saïs",SAKey: Scalable Almost Key discovery in RDF data,33-48,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960033-sakey-scalable-almost-key-discovery-in-rdf-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,33,87960033,
"Fredo Erxleben, Michael Günther, Markus Krötzsch, Julian Mendez and Denny Vrandečić",Introducing Wikidata to the Linked Data Web,49-64,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960049-introducing-wikidata-to-the-linked-data-web.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,49,87960049,
"Lorenz Bühmann, Ricardo Usbeck, Axel-Cyrille Ngonga Ngomo, Muhammad Saleem, Andreas Both, Valter Crescenzi, Paolo Merialdo and Disheng Qiu",Web-Scale Extension of RDF Knowledge Bases from Templated Websites,65-80,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960065-web-scale-extension-of-rdf-knowledge-bases-from-templated-websites.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,"Replication, Benchmark, Data and Software Track Paper",,65,87960065,
Monika Solanki and Christopher Brewster,EPCIS event based traceability in pharmaceutical supply chains via automated generation of linked pedigrees,81-96,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960081-epcis-event-based-traceability-in-pharmaceutical-supply-chains-via-automated-generation-of-linked-pedigrees.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,81,87960081,
"Colin Batchelor, Christian Y. A. Brenninkmeijer, Christine Chichester, Mark Davies, Daniela Digles, Ian Dunlop, Chris Evelo, Anna Gaulton, Carole Goble, Alasdair J. G. Gray, Paul Groth, Lee Harland, Karen Karapetyan, Antonis Loizou, John Overington, Steve Pettifer, Jonathan Steele, Robert Stevens, Valery Tkachenko, Andra Waagmeester, Antony Williams and Egon Willighagen",Scientific lenses to support multiple views over linked chemistry data,97-112,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960097-scientific-lenses-to-support-multiple-views-over-linked-chemistry-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,97,87960097,
"Ali Hasnain, Maulik R. Kamdar, Panagiotis Hasapis, Dimitris Zeginis, Claude N. Warren Jr, Helena F Deus, Dimitrios Ntalaperas, Konstantinos Tarabanis, Muntazir Mehdi and Stefan Decker",Linked Biomedical Dataspace: Lessons Learned integrating Data for Drug Discovery,113-128,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960113-linked-biomedical-dataspace-lessons-learned-integrating-data-for-drug-discovery.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Semantic Web In Use Track Paper,,113,87960113,
"Guillermo Palma, Maria-Esther Vidal and Louiqa Raschid",Drug-Target Interaction Prediction Using Semantic Similarity and Edge Partition,129-144,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960129-drug-target-interaction-prediction-using-semantic-similarity-and-edge-partition.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,129,87960129,
"Fadi Maali, Padmashree Ravindra, Kemafor Anyanwu and Stefan Decker",SYRql: A Dataflow Language for Large Scale Processing of RDF Data,145-160,2014,https://github.com/lidingpku/iswc2014/raw/master/paper/87960145-syrql-a-dataflow-language-for-large-scale-processing-of-rdf-data.pdf,,http://data.semanticweb.org/conference/iswc/2014/proceedings-1,,,,,http://data.semanticweb.org/conference/iswc/2014,Research Track Paper,,145,87960145,
