author,title,pages,year,link_open_access,link_publisher,proceedings_uri,paper_uri,source_uri,keywords,abstract,uri_me,category,source,EOL
"Jane Hunter","Adding Multimedia to the Semantic Web: Building an MPEG-7 ontology",261-283,2001,http://www.semanticweb.org/SWWS/program/full/paper59a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Diego Calvanese, Giuseppe De Giacomo, Maurizio Lenzerini","A Framework for Ontology Integration",303-316,2001,http://www.semanticweb.org/SWWS/program/full/paper21a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Jérôme Euzenat","An infrastructure for formally ensuring interoperability in a heterogeneous semantic web",345-360,2001,http://www.semanticweb.org/SWWS/program/full/paper16a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Prasenjit Mitra, Gio Wiederhold, Stefan Decker","A Scalable Framework for the Interoperation of Information Sources",317-329,2001,http://www.semanticweb.org/SWWS/program/full/paper51a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Sara Comai, Piero Fraternali","A semantic model for specifying data-intensive Web applications using WebML",566-585,2001,http://www.semanticweb.org/SWWS/program/full/paper19a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"David Trastour, Claudio Bartolini, Javier Gonzalez-Castillo","A Semantic Web Approach to Service Description for Matchmaking of Services",447-461,2001,http://www.semanticweb.org/SWWS/program/full/paper52a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Roberto García, Jaime Delgado","Brokerage of Intellectual Property Rights in the Semantic Web",245-260,2001,http://www.semanticweb.org/SWWS/program/full/paper15a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 2: Interoperability, Integration, Composition",,EOL
"Siegfried Handschuh, Steffen Staab, Alexander Maedche","CREAM: Creating relational metadata with a component-based, ontology-driven annotation framework",515-528,2001,http://www.semanticweb.org/SWWS/program/full/paper4a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
"Sean Bechhofer, Carole A. Goble, Ian Horrocks","DAML+OIL is not Enough",151-159,2001,http://www.semanticweb.org/SWWS/program/full/paper40a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 1: Ontology and Ontology Maintenance",,EOL
"Anupriya Ankolekar, Mark H. Burstein, Jerry R. Hobbs, Ora Lassila, David L. Martin, Sheila A. McIlraith, Srini Narayanan, Massimo Paolucci, Terry R. Payne, Katia P. Sycara, Honglei Zeng","DAML-S: Semantic Markup for Web Services",411-430,2001,http://www.semanticweb.org/SWWS/program/full/paper57a.pdf,,http://data.semanticweb.org/conference/iswc/2001/proceedings,,,,,http://data.semanticweb.org/conference/iswc/2001,"Working Track 3: (Web-) Services and Applications",,EOL
