event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo,category
http://data.semanticweb.org/conference/iswc/2003/track/industrial,http://data.semanticweb.org/conference/iswc/2003,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Industrial Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2003/track/main,http://data.semanticweb.org/conference/iswc/2003,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Main Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2003/track/tutorial,http://data.semanticweb.org/conference/iswc/2003,,http://data.semanticweb.org/ns/swc/ontology#TrackEvent,Tutorial Track,,,,,,,,,,,,,,,,,
http://data.semanticweb.org/conference/iswc/2003/session-1a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-1a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Semi-automatic Semantic Annotation of Images Using Machine Learning Techniques,,,,,,,,,,,Oge Marques and Nitish Barman,,,,,,Multi-media
http://data.semanticweb.org/conference/iswc/2003/session-1a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-1a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Integrating Structure and Semantics into Audio-visual Documents,,,,,,,,,,,Raphaël Troncy,,,,,,Multi-media
http://data.semanticweb.org/conference/iswc/2003/session-1a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-1a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,SCULPTEUR: Towards a New Paradigm for Multimedia Museum Information Handling,,,,,,,,,,,"Matthew Addis,Mike J. Boniface,Simon Goodall,Paul Grimwood,Sanghee Kim,Paul H. Lewis,Kirk Martinez and Alison Stevenson",,,,,,Multi-media
http://data.semanticweb.org/conference/iswc/2003/session-1b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-1b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Semantic Coordination: A New Approach and an Application,,,,,,,,,,,"Paolo Bouquet,Luciano Serafini and Stefano Zanobini",,,,,,Ontological Reasoning
http://data.semanticweb.org/conference/iswc/2003/session-1b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-1b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Reducing OWL Entailment to Description Logic Satisfiability,,,,,,,,,,,Ian Horrocks and Peter F. Patel-Schneider,,,,,,Foundations
http://data.semanticweb.org/conference/iswc/2003/session-1b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-1b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,RDFS(FA) and RDF MT: Two Semantics for RDFS,,,,,,,,,,,Jeff Z. Pan and Ian Horrocks,,,,,,Foundations
http://data.semanticweb.org/conference/iswc/2003/session-1c/event-01,http://data.semanticweb.org/conference/iswc/2003/session-1c,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,ODESeW. Automatic Generation of Knowledge Portals for Intranets and Extranets,,,,,,,,,,,"Óscar Corcho,Asunción Gómez-Pérez,Angel López-Cima,V. López-García and María del Carmen Suárez-Figueroa",,,,,,Industrial Track Paper
http://data.semanticweb.org/conference/iswc/2003/session-1c/event-02,http://data.semanticweb.org/conference/iswc/2003/session-1c,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Making Business Sense of the Semantic Web,,,,,,,,,,,"Zavisa Bjelogrlic,Dirk-Willem van Gulik and Alberto Reggiori",,,,,,Industrial Track Paper
http://data.semanticweb.org/conference/iswc/2003/session-2a/event-01,http://data.semanticweb.org/conference/iswc/2003/session-2a,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Towards Ontology-Driven Discourse: From Semantic Graphs to Multimedia Presentations,,,,,,,,,,,"Joost Geurts,Stefano Bocconi,Jacco van Ossenbruggen and Lynda Hardman",,,,,,Multi-media
http://data.semanticweb.org/conference/iswc/2003/session-2a/event-02,http://data.semanticweb.org/conference/iswc/2003/session-2a,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,FrameNet Meets the Semantic Web: Lexical Semantics for the Web,,,,,,,,,,,"Srini Narayanan,Collin F. Baker,Charles J. Fillmore and Miriam R. L. Petruck",,,,,,Applications
http://data.semanticweb.org/conference/iswc/2003/session-2a/event-03,http://data.semanticweb.org/conference/iswc/2003/session-2a,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,A Q-Based Architecture for Semantic Information Interoperability on Semantic Web,,,,,,,,,,,"Zhen-jie Wang,Huanye Sheng and Peng Ding",,,,,,Applications
http://data.semanticweb.org/conference/iswc/2003/session-2b/event-01,http://data.semanticweb.org/conference/iswc/2003/session-2b,1,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Web Ontology Reasoning with Datatype Groups,,,,,,,,,,,Jeff Z. Pan and Ian Horrocks,,,,,,Foundations
http://data.semanticweb.org/conference/iswc/2003/session-2b/event-02,http://data.semanticweb.org/conference/iswc/2003/session-2b,2,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Merging Topics in Well-Formed XML Topic Maps,,,,,,,,,,,Richard Widhalm and Thomas A. Mück,,,,,,Foundations
http://data.semanticweb.org/conference/iswc/2003/session-2b/event-03,http://data.semanticweb.org/conference/iswc/2003/session-2b,3,http://data.semanticweb.org/ns/swc/ontology#TalkEvent,Semantic Processing of the Semantic Web,,,,,,,,,,,Kunal Patel and Gopal Gupta,,,,,,Foundations
