name,uri,conf_uri,roles,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,organization_uri,cnt_org
Aaron Kershenbaum,http://data.semanticweb.org/person/aaron-kershenbaum,http://data.semanticweb.org/conference/iswc/2006,,1,,,,d0edbdad029f771a777df806ce970fe89a1b4271,1,IBM Watson Research,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Abhita Chugh,http://data.semanticweb.org/person/abhita-chugh,http://data.semanticweb.org/conference/iswc/2006,,1,,,,8a5e6d67c8c4cc0428e475e1ad74d0a511160986,1,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2006,,1,,,,b2fd03f06df0171f95240e1d58ff3d47be82c74a,1,Universität Zürich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2006,,1,,,,42e105e76a4873077b7c63e06d51946a89f0eafd,1,IBM Watson Research,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Adrian Mocan,http://data.semanticweb.org/person/adrian-mocan,http://data.semanticweb.org/conference/iswc/2006,,1,,,,bfee0d8ccefccc90080121419de00a7ee18824ef,1,Universität Innsbruck,http://data.semanticweb.org/organization/deri-universitaet-innsbruck,1
Ahlem Ben Hassine,http://data.semanticweb.org/person/ahlem-ben-hassine,http://data.semanticweb.org/conference/iswc/2006,,1,,,,623adfd7604c5a9f6e4caf536ab80e0733dee3db,1,"National Institute of Information and Communications Technology, Japan",http://data.semanticweb.org/organization/national-institute-of-information-and-communications-technology-japan,1
Alain Léger,http://data.semanticweb.org/person/alain-leger,http://data.semanticweb.org/conference/iswc/2006,,1,,,,5fbf9893d1fa7f2088ea6494871fbf964c38b81c,1,,,0
Alessandra Toninelli,http://data.semanticweb.org/person/alessandra-toninelli,http://data.semanticweb.org/conference/iswc/2006,,1,,,,e2fab5a7f8352fce6cb7d3a9a70fe9a7c22c73d1,1,Università di Bologna,http://data.semanticweb.org/organization/universita-di-bologna,1
Alessio Gugliotta,http://data.semanticweb.org/person/alessio-gugliotta,http://data.semanticweb.org/conference/iswc/2006,,1,,,,0f41049f5e0ab98cd902f1893db8b9646ba26a5a,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Alexandra Poulovassilis,http://data.semanticweb.org/person/alexandra-poulovassilis,http://data.semanticweb.org/conference/iswc/2006,,1,,,,b804c68178a28ccde3196f5512affec2d7ded34c,1,"Birkbeck, University of London",http://data.semanticweb.org/organization/birkbeck-university-of-london,1
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2006,,1,,,,9c1dfd993ad7d1852e80ef8c87fac30e10776c0c,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Andreas Harth,http://data.semanticweb.org/person/andreas-harth,http://data.semanticweb.org/conference/iswc/2006,,1,,,,349ba1da7307ffb78517ae557ade1dd5177a6dbb,1,"National University of Ireland, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Antoine Zimmermann,http://data.semanticweb.org/person/antoine-zimmermann,http://data.semanticweb.org/conference/iswc/2006,,1,,,,fe8558534c4eb4c894c9fad86288faa7ad057602,1,INRIA,http://data.semanticweb.org/organization/inria-rhone-alpes,1
Bangyong Liang,http://data.semanticweb.org/person/bangyong-liang,http://data.semanticweb.org/conference/iswc/2006,,0,,,,3bd64fc2f08f3aac21908fb638861e46a0a681b4,1,,,0
Barry Norton,http://data.semanticweb.org/person/barry-norton,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f4beeb3b53fc0c2ebc539642fe3e70fbf86dc62d,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Bernhard Krüpl,http://data.semanticweb.org/person/bernhard-kruepl,http://data.semanticweb.org/conference/iswc/2006,,1,,,,ed818c978836b4f42cf93154c4e8e4c98bdd31d0;a350bc0b4a32a15c4514f71557100550c1098b04,2,,,0
Bijan Parsia,http://data.semanticweb.org/person/bijan-parsia,http://data.semanticweb.org/conference/iswc/2006,,2,,,,c9ef3edda6fd12cc1e9113217a75e5074e2ee80e,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Boanerges Aleman-Meza,http://data.semanticweb.org/person/boanerges-aleman-meza,http://data.semanticweb.org/conference/iswc/2006,,1,,,,442421f7bcce69cb31cae394cd396d494ff134a0,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Boris Motik,http://data.semanticweb.org/person/boris-motik,http://data.semanticweb.org/conference/iswc/2006,,1,,,,64f80fd3c2d12a29acf55513175d7913522a22af,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Budak Arpinar,http://data.semanticweb.org/person/budak-arpinar,http://data.semanticweb.org/conference/iswc/2006,,1,,,,788870756987705bfa44217ad035ebbf87c9131c,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Carlos Hurtado,http://data.semanticweb.org/person/carlos-hurtado,http://data.semanticweb.org/conference/iswc/2006,,1,,,,73c97195c19de63fb454283e51f3d029369ee5e7,1,Universidad de Chile,http://data.semanticweb.org/organization/universidad-de-chile,1
Carlos Pedrinaci,http://data.semanticweb.org/person/carlos-pedrinaci,http://data.semanticweb.org/conference/iswc/2006,,1,,,,c64f9841ebaba8d2ea75552be0400ad2b304b5d0,1,The Open University,http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Carole A. Goble,http://data.semanticweb.org/person/carole-a-goble,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f7238a78c0f25518c40148fe94b9fe722ff98c6d,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
Cartic Ramakrishnan,http://data.semanticweb.org/person/cartic-ramakrishnan,http://data.semanticweb.org/conference/iswc/2006,,1,,,,025518b3c5901a3013f6c0553ced677f26a3b25b,1,University of Georgia,http://data.semanticweb.org/organization/university-of-georgia,1
Chris Welty,http://data.semanticweb.org/person/chris-welty,http://data.semanticweb.org/conference/iswc/2006,,2,,,,f51b13995e8f7adb764ee0c022ede7978a849898,1,IBM Watson Research,http://data.semanticweb.org/organization/ibm-watson-research-center,1
Christian Bizer,http://data.semanticweb.org/person/christian-bizer,http://data.semanticweb.org/conference/iswc/2006,,1,,,,50c02ff93e7d477ace450e3fbddd63d228fb23f3,1,Free University of Berlin,http://data.semanticweb.org/organization/freie-universitaet-berlin,1
Christoph Tempich,http://data.semanticweb.org/person/christoph-tempich,http://data.semanticweb.org/conference/iswc/2006,,1,,,,e38789e8ae3dd8909042a04ed1a386a3f594ef37,1,Institut für Angewandte Informatik und Formale Beschreibungsverfahren (AIFB),http://data.semanticweb.org/organization/institut-aifb-universitaet-karlsruhe,1
Christopher Brewster,http://data.semanticweb.org/person/christopher-brewster,http://data.semanticweb.org/conference/iswc/2006,,1,,,,9bc5b648a6dab198067a9b36e7d74551c8f3054b,1,University of Sheffield,http://data.semanticweb.org/organization/university-of-sheffield-uk,1
Claudio Gutierrez,http://data.semanticweb.org/person/claudio-gutierrez,http://data.semanticweb.org/conference/iswc/2006,,1,,,,f341588c8c974d3b6fa4134e12700da871e8704f,1,Universidad de Chile,http://data.semanticweb.org/organization/universidad-de-chile,1
Dario Cerizza,http://data.semanticweb.org/person/dario-cerizza,http://data.semanticweb.org/conference/iswc/2006,,1,,,,77e3060c28b7a35ca1e4518e83b4a6219912fca7,1,CEFRIEL,http://data.semanticweb.org/organization/cefriel,1
Darren Lunn,http://data.semanticweb.org/person/darren-lunn,http://data.semanticweb.org/conference/iswc/2006,,1,,,,2f8aca6a57d422a733929894a98313999516e43e,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
David Karger,http://data.semanticweb.org/person/david-karger,http://data.semanticweb.org/conference/iswc/2006,,1,,,,1192ccf2698e2122ed342719927b0f6e70c46269,1,MIT,http://data.semanticweb.org/organization/mit-csail,1
Dmitry Tsarkov,http://data.semanticweb.org/person/dmitry-tsarkov,http://data.semanticweb.org/conference/iswc/2006,,1,,,,8ca9de5243d9babda9bdbc832bfabdd8e6aaed36,1,University of Manchester,http://data.semanticweb.org/organization/university-of-manchester-uk,1
