role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,cnt_paper,proceedings_label,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
,,,,,AK Sinha,http://data.semanticweb.org/person/ak-sinha,,1,,,,75753862369a787f4a8ed6d512c84e10c126bc3d,1,Virginia Tech,1
,,,,,Abdelmounaam Rezgui,http://data.semanticweb.org/person/abdelmounaam-rezgui,,1,,,,6542641188056f743c22ee0fdfacb420a2b9e307,1,Virginia Tech,1
,,,,,Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,,2,,,,8704ad77580618cb845036d3a15626d30fd828c3,1,"University of Zurich;Department of Informatics, University of Zurich;Univ Zürich",1
,,,,,Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,,1,,,,42e105e76a4873077b7c63e06d51946a89f0eafd,1,IBM Research Laboratory;IBM Research,1
,,,,,Adam Funk,http://data.semanticweb.org/person/adam-funk,,1,,,,5d568aebe8cfe9c281b8bc4b9ae5b2d53c3dfe75,1,University Of Sheffield;The University of Sheffield;University of Sheffield,1
,,,,,Aditya Kalyanpur,http://data.semanticweb.org/person/aditya-kalyanpur,,1,,,,b1fe362f3eabc1dac5c9829fb53fd2de0d556f5b,1,IBM TJ Watson Research Center;IBM T. J. Watson Research Center;IBM T.J. Watson Research Center,1
,,,,,Adrian Mocan,http://data.semanticweb.org/person/adrian-mocan,,1,,,,bfee0d8ccefccc90080121419de00a7ee18824ef,1,Semantic Technology Institute Innsbruck;STI Innsbruck,1
,,,,,Ahmad Iqbal,http://data.semanticweb.org/person/ahmad-iqbal,,1,,,,19772055ed41bc7cc69398ddf428149c731d21b4,1,"University of New South Wales;National ICT Australia;DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, Galway;DERI, NUIG;Digital Enterprise Research Institute (DERI), National University of Ireland, Galway;DERI NUIG;DERI Galway;Digital Enterprise Research Institute (DERI), Galway",3
,,,,,Ajay Chakravarthy,http://data.semanticweb.org/person/ajay-chakravarthy,,1,,,,204504dfc58a7935a5d945d767867d5025543d2f,1,University Of Sheffield;The University of Sheffield;University of Sheffield,1
,,,,,Akimichi Tanaka,http://data.semanticweb.org/person/akimichi-tanaka,,1,,,,2dc6b957be5c82ef7bf0532a0429e8da60f62fac,1,"NTT Cyber Solutions Laboratories, NTT Corporation",1
,,,,,Alan Rector,http://data.semanticweb.org/person/alan-rector,,1,,,,b4c3594530b2a7d19366535aa05b2298a49b66ea,1,University of Manchester;The University of Manchester,1
,,,,,Alberto Salvati,http://data.semanticweb.org/person/alberto-salvati,,1,,,,6f5c4ac98c6ad3a78f3a9554a448366c0aabc8fb,1,"Semantic TechnoIogy Lab, CNR;CNR;Semantic TechnoIogy Lab. ISTC-CNR;CNR-ISTC",1
,,,,,Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,,1,,,,8d7f004803b48a3b7c5e9f73dc16953069a6632d,1,"Semantic TechnoIogy Lab, CNR;CNR;Semantic TechnoIogy Lab. ISTC-CNR;CNR-ISTC",1
,,,,,Alex Donaldson,http://data.semanticweb.org/person/alex-donaldson,,1,,,,,0,Pacific Northwest National Laboratory,1
,,,,,Alex Kass,http://data.semanticweb.org/person/alex-kass,,1,,,,795fec1a9601795059507643c1fc8693cb709c5a,1,Accenture Technology Labs,1
,,,,,Alexa Breuing,http://data.semanticweb.org/person/alexa-breuing,,1,,,,1e4da1fdea01d6d4b1f1d8262a3c279c99df8379,1,University of Bielefeld,1
,,,,,Alexander Löser,http://data.semanticweb.org/person/alexander-loeser,,0,,,,e8ccd7ec47beae53db45584d8d2a4125a48e55b9,1,"SAP Research;SAP AG, SAP Research",1
,,,,,Alexandra Poulovassilis,http://data.semanticweb.org/person/alexandra-poulovassilis,,0,,,,b804c68178a28ccde3196f5512affec2d7ded34c,1,,0
,,,,,Alexey Tsymbal,http://data.semanticweb.org/person/alexey-tsymbal,,1,,,,64d57897e860a4173a76e23af4b62053f1f2bf53,1,"Corporate Technology Division Siemens AG Erlangen, Germany",1
,,,,,Ali Mamat,http://data.semanticweb.org/person/ali-mamat,,1,,,,eb80b56f9592b52a76cb3e251313eb8d6c179399,1,Universiti Putra Malaysia (UPM),1
,,,,,Alistair Russell,http://data.semanticweb.org/person/alistair-russell,,1,,,,715b6e6c2ddfb2ac7b03142d28fc1838d12de348,1,University of Southampton,1
,,,,,Alvaro Graves,http://data.semanticweb.org/person/alvaro-graves,,1,,,,d202e08271ceb8161f29aa2698aa84c3539ab7d3,1,Rensselaer Polytechnic Institute;RPI,1
,,,,,Aman Shakya,http://data.semanticweb.org/person/aman-shakya,,1,,,,6f397553a28dd90acb21de420945fde4c3b36c54,1,National Institute of Informatics,1
,,,,,Amancio Bouza,http://data.semanticweb.org/person/amancio-bouza,,1,,,,9832cfc3c7b3521deb764fe5c36fe93d90cf156b,1,"University of Zurich;Department of Informatics, University of Zurich;Univ Zürich",1
,,,,,America Holloway,http://data.semanticweb.org/person/america-holloway,,1,,,,313cb8c0a45d8fa3d32bf47d3a1f0fd63c1115a1,1,"University of California, Irvine",1
,,,,,Amit P. Sheth,http://data.semanticweb.org/person/amit-sheth,,0,,,,c903202d3919813029e4dc56efbe0a2b2443074c,1,"Wright State University;Kno.e.sis Center, Wright State University",1
,,,,,Amit Sheth,http://data.semanticweb.org/person/amit-sheth,,0,,,,c903202d3919813029e4dc56efbe0a2b2443074c,1,"Wright State University;Kno.e.sis Center, Wright State University",1
,,,,,Andreas Hotho,http://data.semanticweb.org/person/andreas-hotho,,1,,,,618346f249ba96ff62d1a2765d7badc4282125ad,1,University of Kassel,1
,,,,,Andreas Wechselberger,http://data.semanticweb.org/person/andreas-wechselberger,,1,,,,7c688befb97d4a51142b9af0690841c6348eccd4,1,"Bundeswehr University Munich, Germany",1
,,,,,Andrew Branson,http://data.semanticweb.org/person/andrew-branson,,1,,,,eafd6f401ff0083b6a1d5cd77ccc16213cbb7339,1,"University of the West of England, Bristol;University of the West of England",1
,,,,,Andrew Buttigieg,http://data.semanticweb.org/person/andrew-buttigieg,,1,,,,8ca699c5452125759cab0b95fa9af8700cf6e2b8,1,University of Malta,1
,,,,,Anne Eberhardt,http://data.semanticweb.org/person/anne-eberhardt,,0,,,,,0,Universität Karlsruhe;University of Karlsruhe,1
,,,,,Anthony G. Cohn,http://data.semanticweb.org/person/anthony-g-cohn,,2,,,,405fc64aabd338520f29ee885b478f23f845b9e1,1,University of Leeds,1
,,,,,Anupam Joshi,http://data.semanticweb.org/person/anupam-joshi,,1,,,,de4984eb69b9610f133321ac8b1fc38de56661e3,1,"University of Maryland, Baltimore County;University of Maryland Baltimore County;Univ Maryland",1
,,,,,Anupriya Ankolekar,http://data.semanticweb.org/person/anupriya-ankolekar,,0,,,,9a7019b0a99d67401833dcd7c77d7971cdad7cdf,1,"Institute AIFB, University of Karlsruhe;AIFB, Universität Karlsruhe (TH);AIFB, University of Karlsruhe;Insitute AIFB, University Karlsruhe;Institute AIFB, Universität Karlsruhe (TH);AIFB, Universität Karlsruhe",1
