event_uri,super_event_uri,order_in_super_event,event_type,label,start,end,duration,tzid,room,address,chair_label,chair_person,presenter_label,presenter_person,author,acronym,abstract,homepage,link_document,logo
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Program Chair at ISWC 2009,"David Karger,Abraham Bernstein",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Program Chair at ISWC 2009,"David Karger,Abraham Bernstein",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Doctoral Consortium Chair at ISWC 2009,Diana Maynard,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Doctoral Consortium Chair at ISWC 2009,Diana Maynard,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,General Chair at ISWC 2009,Enrico Motta,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,General Chair at ISWC 2009,Enrico Motta,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Fellowship Chair at ISWC 2009,Joel Sachs,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Fellowship Chair at ISWC 2009,Joel Sachs,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Proceedings Chair at ISWC 2009,Krishnaprasad Thirunarayan,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Proceedings Chair at ISWC 2009,Krishnaprasad Thirunarayan,,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Tutorial Chair at ISWC 2009,"Marta Sabou,Jennifer Golbeck",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Tutorial Chair at ISWC 2009,"Marta Sabou,Jennifer Golbeck",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Industry Track Chair at ISWC 2009,"Matt Fisher,John Callahan",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Industry Track Chair at ISWC 2009,"Matt Fisher,John Callahan",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Local Chair at ISWC 2009,"Mike Dean,Leo Obrst",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Local Chair at ISWC 2009,"Mike Dean,Leo Obrst",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Sponsorship Chair at ISWC 2009,"Pete Pflugrath,Fabio Ciravegna",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Sponsorship Chair at ISWC 2009,"Pete Pflugrath,Fabio Ciravegna",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Semantic Web Challenge Chair at ISWC 2009,"Peter Mika,Chris Bizer,Christian Bizer",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Semantic Web Challenge Chair at ISWC 2009,"Peter Mika,Chris Bizer,Christian Bizer",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Workshop Chair at ISWC 2009,"Philippe Cudré-Mauroux,Jeff Heflin",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Workshop Chair at ISWC 2009,"Philippe Cudré-Mauroux,Jeff Heflin",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Metadata Chair at ISWC 2009,"Richard Cyganiak,Knud Möller",,,,,,,,
http://data.semanticweb.org/conference/iswc/2009,,,http://swrc.ontoware.org/ontology#ConferenceEvent,8th International Semantic Web Conference,,,,,,,Metadata Chair at ISWC 2009,"Richard Cyganiak,Knud Möller",,,,,,,,
