role_type,role_label,role_event,role_event_label,role_event_type,name,person_uri,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization,cnt_org
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Diana Maynard,http://data.semanticweb.org/person/diana-maynard,http://www.dcs.shef.ac.uk/~diana/,,,,0,University of Sheffield,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Doctoral Consortium Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Diana Maynard,http://data.semanticweb.org/person/diana-maynard,http://www.dcs.shef.ac.uk/~diana/,,,,0,University of Sheffield,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Fellowship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Joel Sachs,http://data.semanticweb.org/person/joel-sachs,http://ebiquity.umbc.edu/person/html/Joel/Sachs/,,,,0,"University of Maryland;University of Maryland, USA;University of Maryland, Baltimore County;University of Maryland, College Park;University of Maryland, Baltimore County, USA",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Fellowship Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Joel Sachs,http://data.semanticweb.org/person/joel-sachs,http://ebiquity.umbc.edu/person/html/Joel/Sachs/,,,,0,"University of Maryland;University of Maryland, USA;University of Maryland, Baltimore County;University of Maryland, College Park;University of Maryland, Baltimore County, USA",1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Enrico Motta,http://data.semanticweb.org/person/enrico-motta,http://kmi.open.ac.uk/people/motta/,,,,0,"Open University;Knowledge Media Institute (KMI), The Open University",1
http://data.semanticweb.org/ns/swc/ontology#Chair,General Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Enrico Motta,http://data.semanticweb.org/person/enrico-motta,http://kmi.open.ac.uk/people/motta/,,,,0,"Open University;Knowledge Media Institute (KMI), The Open University",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,John Callahan,http://data.semanticweb.org/person/john-callahan,,,,3bc25722cfdc422b549ce5d401074e189b7253cf,1,Johns Hopkins University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,John Callahan,http://data.semanticweb.org/person/john-callahan,,,,3bc25722cfdc422b549ce5d401074e189b7253cf,1,Johns Hopkins University,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Matt Fisher,http://data.semanticweb.org/person/matt-fisher,http://purl.org/net/mfisher,,,,0,Progeny Systems,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Industry Track Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Matt Fisher,http://data.semanticweb.org/person/matt-fisher,http://purl.org/net/mfisher,,,,0,Progeny Systems,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Local Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Leo Obrst,http://data.semanticweb.org/person/leo-obrst,,,,206849f07b39136bc7948f40da94c22ddb105c67,1,MITRE,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Local Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Leo Obrst,http://data.semanticweb.org/person/leo-obrst,,,,206849f07b39136bc7948f40da94c22ddb105c67,1,MITRE,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Local Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Mike Dean,http://data.semanticweb.org/person/mike-dean,http://www.daml.org/people/mdean/,,,6006a914f7d645142fadf08d9a4e33aee98416d0,1,BBN Technologies,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Local Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Mike Dean,http://data.semanticweb.org/person/mike-dean,http://www.daml.org/people/mdean/,,,6006a914f7d645142fadf08d9a4e33aee98416d0,1,BBN Technologies,1
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://data.semanticweb.org/ns/swc/ontology#ConferenceEvent,Knud Möller,http://data.semanticweb.org/person/knud-moeller,http://kantenwerk.org,,,b15d1e7efb11374644555fa9734bf75a553a362c,1,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",1
http://data.semanticweb.org/ns/swc/ontology#Chair,Metadata Chair at ISWC 2009,http://data.semanticweb.org/conference/iswc/2009,8th International Semantic Web Conference,http://swrc.ontoware.org/ontology#ConferenceEvent,Knud Möller,http://data.semanticweb.org/person/knud-moeller,http://kantenwerk.org,,,b15d1e7efb11374644555fa9734bf75a553a362c,1,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",1
