conf_uri,uri,name,logo,homepage,member_list,cnt_member
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/athabasca-university,"School of Computing and Information Systems, Athabasca University, Canada",,,Dragan Gasevic,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/bbn-technologies,BBN Technologies,,,Pete Pflugrath;Mike Dean,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/bristol-university,University of Bristol,,,Simon Price;Nikki Rogers;Mike Jones;Jasper Tredgold;Damian Steer;Angela Piccini,6
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/bundeswehr-university-munich-germany,Universität der Bundeswehr München,,,Andreas Radinger;Andreas Wechselberger;Thomas Irmscher;Alex Stolz;Tobias Ostheim;Martin Hepp;Mark Mattern;Daniel Bingel,8
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/cambridge-semantics,Cambridge Semantics,,,Lee Feigenbaum,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/cefriel,CEFRIEL - ICT Institute Politecnico di Milano,,,Irene Celino;Daniele Dell'Aglio,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/centria-universidade-nova-de-lisboa,CENTRIA,,,Terrance Swift;Matthias Knorr;Jose Alferes,3
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/chemnitz-university-of-technology,Chemnitz University of Technology,,,Martin Gaedke;Julius Volz,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/chinese-academy-of-sciences,Chinese Academy of Sciences,,,Zhixiong Zhang;Na Hong,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/clark-parsia,"Clark & Parsia, LLC",,,Evren Sirin,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/cnr-istc-italy,ISTC-CNR,,,Eva Blomqvist,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/csiro-australia,"CSIRO ICT Centre, Australia",,,Mark Cameron;Kerry Taylor;John Colton;Jemma Wu;Goeffrey Squire;David Ratcliffe,6
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/deri-nui-galway,"DERI Galway, National University of Ireland, Galway;Digital Enterprise Research Institute, NUI Galway;School of Engineering and Informatics and DERI, National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland Galway;DERI, NUI Galway, Ireland;Digital Enterprise Research Institute;Digital Enterprise Research Institute, National University of Ireland, Galway, Ireland;National University of Ireland, Galway;Digital Enterprise Research Institute, National University of Ireland, Galway;DERI, National University of Ireland, Galway",,,Alexandre Passant;Smitashree Choudhury;Stefan Decker;Andreas Harth;Michael Hausenblas;Tudor Groza;Danh Le Phuoc;Vit Novacek;Axel Polleres;Stephane Corlosquet;Richard Cyganiak;Siegfried Handschuh;Juergen Umbrich;Sheila Kinsella;Knud Möller;Renaud Delbru;Laura Dragan;John G. Breslin;Manfred Hauswirth,19
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/dortmund-university-of-technology,Technische Universität Dortmund,,,Malte Isberner;Christian Kubczak;Bernhard Steffen,3
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/ecole-dingenieur-telecom-paristech,Telecom ParisTech Paris France,,,Ahmed Serhrouchni,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/fbk-irst,FBK-irst,,,Paolo Tonella;Marco Rospocher;Luciano Serafini;Chiara Ghidini;Chiara Di Francescomarino,5
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/forth-ics,"Institute of Computer Science (ICS), FORTH",,,Irini Fundulaki;Giorgos Flouris,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/fraunhofer-institute-for-computer-graphics-research-igd,Fraunhofer IGD,,,Mohammad Reza Tazari,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/freie-universitaet-berlin,Freie Universität Berlin,,,Georgi Kobilarov;Chris Bizer;Christian Bizer,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/fzi-forschungszentrum-informatik,FZI Forschungszentrum Informatik;FZI Research Center for Information Technology,,,Nenad Stojanovic;Roland Stühmer;Mark Hefke;Jun Ma;Darko Anicic;Sinan Sen;Andreas Abecker,7
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/government-of-south-australia,Government of South Australia,,,Philip Nguyen,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/griffith-university,Griffith University,,,Zhe Wang;Rodney Topor;Kewen Wang,3
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/harvard-medical-school-department-of-neuro,"Harvard Medical School, Department of Neurology, Boston, MA, USA",,,Tim Clark,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/hasso-plattner-institut-hpi,"Hasso Plattner Institut, Potsdam",,,Christoph Boehm,1
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/helsinki-university-of-technology-tkk-finland,Helsinki University of Technology,,,Seppo Torma;Esko Nuutila,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/hewlett-packard-laboratories,Hewlett Packard Labs,,,Dave Grosvenor;Andy Seaborne,2
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/homi-bhabha-centre-for-science-education,"Gnowledge Lab, Homi Bhabha Centre, Tata Institute of Fundamental Research",,,Rajiv Nair;Nagarjuna G;Ganesh Gajre;Divya S;Alpesh Gajbe,5
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/humboldt-universitaet-zu-berlin,Humboldt-Universität zu Berlin;Humboldt-Universitaet zu Berlin,,,Ulf Leser;Philip Groth;Olaf Hartig;Johann-Christoph Freytag,4
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/ibm-almaden-research-center,IBM Almaden Research Center,,,Jan Pieper;Daniel Gruhl;Christine Robson,3
http://data.semanticweb.org/conference/iswc/2009,http://data.semanticweb.org/organization/ibm-china-research-laboratory,"IBM China Research Laboratory,Beijing China;IBM China Research Laboratory;ibm china research lab",,,Sheng Ping Liu;Yuan Ni;Hanyu Li;Yue Pan;Hai Feng Liu;Shengping Liu;Xue Qiao Hou;Jing Mei;Guotong Xie;Guo Tong Xie;Gang Hu;Han Yu Li,11
