name,uri,conf_uri,roles,cnt_role,cnt_paper,homepage,bio,depiction,mbox_sha1sum,cnt_mbox,organization_sample,organization,organization_uri,cnt_org
A. Elizabeth Cano,http://data.semanticweb.org/person/a-elizabeth-cano,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,"Kmi, The Open University, UK","Kmi, The Open University, UK",http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Abraham Bernstein,http://data.semanticweb.org/person/abraham-bernstein,http://data.semanticweb.org/conference/iswc/2014,"Session Chair; Replication, Benchmark, Data and Software Track Chairs; PC Member at ISWC2014 (Doctoral Consortium)",3,1,http://www.ifi.uzh.ch/ddis/people/bernstein.html,,,,0,University of Zurich,University of Zurich,http://data.semanticweb.org/organization/university-of-zurich,1
Achille Fokoue,http://data.semanticweb.org/person/achille-fokoue,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); Workshop Chair,2,0,,,,,0,IBM Research,IBM Research,http://data.semanticweb.org/organization/ibm-research,1
Achim Rettinger,http://data.semanticweb.org/person/achim-rettinger,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,"Institut AIFB, Universität Karlsruhe","Institut AIFB, Universität Karlsruhe",http://data.semanticweb.org/organization/institut-aifb-universitaet-karlsruhe,1
Adila A. Krisnadhi,http://data.semanticweb.org/person/adila-a-krisnadhi,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Adrian Brasoveanu,http://data.semanticweb.org/person/adrian-brasoveanu,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Agata Filipowska,http://data.semanticweb.org/person/agata-filipowska,http://data.semanticweb.org/conference/iswc/2014,Workshop Chair,1,0,,,,,0,,,,0
Agnieszka Lawrynowicz,http://data.semanticweb.org/person/agnieszka-lawrynowicz,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); Workshop Chair,2,1,,,,,0,Poznań University of Technology,Poznań University of Technology,http://data.semanticweb.org/organization/poznan-university-of-technology,1
Ahmad Ahmad,http://data.semanticweb.org/person/ahmad-ahmad,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Dalhousie University,Dalhousie University,http://data.semanticweb.org/organization/dalhousie-university,1
Ahmet Soylu,http://data.semanticweb.org/person/ahmet-soylu,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,University of Oslo,University of Oslo,http://data.semanticweb.org/organization/university-of-oslo,1
Aidan Delaney,http://data.semanticweb.org/person/aidan-delaney,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,0,,,,,0,University of Brighton,University of Brighton,http://data.semanticweb.org/organization/university-of-brighton,1
Aidan Hogan,http://data.semanticweb.org/person/aidan-hogan,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos); Workshop Chair,3,0,,,,,0,University of Chile,University of Chile,http://data.semanticweb.org/organization/university-of-chile,1
Alasdair J. G. Gray,http://data.semanticweb.org/person/alasdair-j-g-gray,http://data.semanticweb.org/conference/iswc/2014,Workshop Chair; PC Member at ISWC2014 (In Use Track); PC Member at ISWC2014 (Research Track); Session Chair,4,2,,,,,0,Heriot-Watt University,Heriot-Watt University,http://data.semanticweb.org/organization/heriot-watt-university,1
Albert Meroño-Peñuela,http://data.semanticweb.org/person/albert-merono-penuela,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Alberto Tonon,http://data.semanticweb.org/person/alberto-tonon,http://data.semanticweb.org/conference/iswc/2014,"Reviewer at ISWC2014 (Research Track); Reviewer at ISWC2014 (Replication, Benchmark, Data and Software Track)",2,0,,,,,0,,,,0
Albin Ahmeti,http://data.semanticweb.org/person/albin-ahmeti,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Vienna University of Technology,Vienna University of Technology,http://data.semanticweb.org/organization/vienna-university-of-technology,1
Aldo Gangemi,http://data.semanticweb.org/person/aldo-gangemi,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); Workshop Chair,2,0,,,,,0,ISTC-CNR,ISTC-CNR,http://data.semanticweb.org/organization/istc-cnr,1
Alejandro Llaves,http://data.semanticweb.org/person/alejandro-llaves,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Technical University of Madrid,Technical University of Madrid,http://data.semanticweb.org/organization/technical-university-of-madrid,1
Alessandra Mileo,http://data.semanticweb.org/person/alessandra-mileo,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track); PC Member at ISWC2014 (Posters and Demos),2,0,,,,,0,"DERI, NUI, Galway","DERI, NUI, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Alessandro Adamou,http://data.semanticweb.org/person/alessandro-adamou,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,1,,,,,0,"Kmi, The Open University, UK","Kmi, The Open University, UK",http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Alessandro Bozzon,http://data.semanticweb.org/person/alessandro-bozzon,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Delft University of Technology,Delft University of Technology,http://data.semanticweb.org/organization/delft-university-of-technology,1
Alessandro Oltramari,http://data.semanticweb.org/person/alessandro-oltramari,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,0,,,,,0,Carnegie Mellon University,Carnegie Mellon University,http://data.semanticweb.org/organization/carnegie-mellon-university,1
Alessandro Solimando,http://data.semanticweb.org/person/alessandro-solimando,http://data.semanticweb.org/conference/iswc/2014,,0,3,,,,,0,University of Genoa,University of Genoa,http://data.semanticweb.org/organization/university-of-genoa,1
Alessio Palmero Aprosio,http://data.semanticweb.org/person/alessio-palmero-aprosio,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos),1,1,,,,,0,Fondazione Bruno Kessler,Fondazione Bruno Kessler,http://data.semanticweb.org/organization/fondazione-bruno-kessler,1
Alexander G. Castro,http://data.semanticweb.org/person/alexander-g-castro,http://data.semanticweb.org/conference/iswc/2014,Industry Track Chair,1,0,http://www.alexandergarcia.name/,,,,0,LinkingData I/O LLC,LinkingData I/O LLC,http://data.semanticweb.org/organization/linkingdata-io-llc,1
Alexander Schätzle,http://data.semanticweb.org/person/alexander-schaetzle,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,University of Freiburg,University of Freiburg,http://data.semanticweb.org/organization/university-of-freiburg,1
Alexandre Rademaker,http://data.semanticweb.org/person/alexandre-rademaker,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,IBM Rio Research Centre,IBM Rio Research Centre,http://data.semanticweb.org/organization/ibm-rio-research-centre,1
Alfio Gliozzo,http://data.semanticweb.org/person/alfio-gliozzo,http://data.semanticweb.org/conference/iswc/2014,"PC Member at ISWC2014 (Replication, Benchmark, Data and Software Track)",1,0,http://researcher.watson.ibm.com/researcher/view.php?person=us-gliozzo,,,,0,Thomas J. Watson Research Center,Thomas J. Watson Research Center,http://data.semanticweb.org/organization/thomas-j-watson-research-center,1
Ali Anil Sinaci,http://data.semanticweb.org/person/ali-anil-sinaci,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Ali Hasnain,http://data.semanticweb.org/person/ali-hasnain,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,"INSIGHT, NUI Galway","INSIGHT, NUI Galway",http://data.semanticweb.org/organization/insight-nui-galway,1
Alifah Syamsiyah,http://data.semanticweb.org/person/alifah-syamsiyah,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Dresden University of Technology,Dresden University of Technology,http://data.semanticweb.org/organization/dresden-university-of-technology,1
Alison Callahan,http://data.semanticweb.org/person/alison-callahan,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Stanford University,Stanford University,http://data.semanticweb.org/organization/stanford-university,1
Alistair Duke,http://data.semanticweb.org/person/alistair-duke,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Alistair Hamilton,http://data.semanticweb.org/person/alistair-hamilton,http://data.semanticweb.org/conference/iswc/2014,Workshop Chair,1,0,,,,,0,,,,0
Aljaz Kosmerlj,http://data.semanticweb.org/person/aljaz-kosmerlj,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Alois Haselboeck,http://data.semanticweb.org/person/alois-haselboeck,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Industry Track),1,0,,,,,0,Siemens,Siemens,http://data.semanticweb.org/organization/siemens,1
Amal Zouaq,http://data.semanticweb.org/person/amal-zouaq,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Posters and Demos); PC Member at ISWC2014 (In Use Track),2,0,,,,,0,Royal Military College of Canada,Royal Military College of Canada,http://data.semanticweb.org/organization/royal-military-college-of-canada,1
Amin Anjomshoaa,http://data.semanticweb.org/person/amin-anjomshoaa,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Vienna University of Technology,Vienna University of Technology,http://data.semanticweb.org/organization/vienna-university-of-technology,1
Amin Tjoa,http://data.semanticweb.org/person/amin-tjoa,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Vienna University of Technology,Vienna University of Technology,http://data.semanticweb.org/organization/vienna-university-of-technology,1
Amine Hallili,http://data.semanticweb.org/person/amine-hallili,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,French Institute for Research in Computer Science and Automation,French Institute for Research in Computer Science and Automation,http://data.semanticweb.org/organization/french-institute-for-research-in-computer-science-and-automation,1
Amit Sheth,http://data.semanticweb.org/person/amit-sheth,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,0,,,,,0,Wright State University,Wright State University,http://data.semanticweb.org/organization/wright-state-university,1
Amparo E. Cano,http://data.semanticweb.org/person/amparo-e-cano,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Research Track),1,1,,,,,0,"Kmi, The Open University, UK","Kmi, The Open University, UK",http://data.semanticweb.org/organization/kmi-the-open-university-uk,1
Amrapali Zaveri,http://data.semanticweb.org/person/amrapali-zaveri,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (In Use Track),1,0,,,,,0,Leipzig University,Leipzig University,http://data.semanticweb.org/organization/leipzig-university,1
Amy Shi-Nash,http://data.semanticweb.org/person/amy-shi-nash,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Ana Sasa Bastinos,http://data.semanticweb.org/person/ana-sasa-bastinos,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,,,,0
Anca Dumitrache,http://data.semanticweb.org/person/anca-dumitrache,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,VU University Amsterdam,VU University Amsterdam,http://data.semanticweb.org/organization/vu-university-amsterdam,1
Andra Waagmeester,http://data.semanticweb.org/person/andra-waagmeester,http://data.semanticweb.org/conference/iswc/2014,,0,1,,,,,0,Maastricht University,Maastricht University,http://data.semanticweb.org/organization/maastricht-university,1
Andre de Oliveira Melo,http://data.semanticweb.org/person/andre-de-oliveira-melo,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,0,,,,,0,,,,0
Andre Freitas,http://data.semanticweb.org/person/andre-freitas,http://data.semanticweb.org/conference/iswc/2014,Reviewer at ISWC2014 (Research Track),1,1,,,,,0,"DERI, NUI, Galway","DERI, NUI, Galway",http://data.semanticweb.org/organization/deri-nui-galway,1
Andre Valente,http://data.semanticweb.org/person/andre-valente,http://data.semanticweb.org/conference/iswc/2014,PC Member at ISWC2014 (Industry Track),1,0,,,,,0,Google Inc.,Google Inc.,http://data.semanticweb.org/organization/google-inc,1
